id,key,value,type
,,,
30979232,b'created_by',b'JOSM',b'regular'
,,,
30979303,b'created_by',b'JOSM',b'regular'
,,,
30979315,b'created_by',b'JOSM',b'regular'
,,,
30979321,b'created_by',b'JOSM',b'regular'
,,,
30979324,b'created_by',b'JOSM',b'regular'
,,,
42421941,b'highway',b'traffic_signals',b'regular'
,,,
42421951,b'highway',b'traffic_signals',b'regular'
,,,
42421960,b'highway',b'traffic_signals',b'regular'
,,,
42421965,b'highway',b'traffic_signals',b'regular'
,,,
42422026,b'highway',b'traffic_signals',b'regular'
,,,
42422028,b'highway',b'traffic_signals',b'regular'
,,,
42422038,b'crossing',b'traffic_signals',b'regular'
,,,
42422038,b'highway',b'traffic_signals',b'regular'
,,,
42422038,b'sloped_curb',b'yes',b'regular'
,,,
42422042,b'highway',b'traffic_signals',b'regular'
,,,
42422258,b'highway',b'traffic_signals',b'regular'
,,,
42422270,b'highway',b'motorway_junction',b'regular'
,,,
42422270,b'ref',b'2',b'regular'
,,,
42424258,b'highway',b'motorway_junction',b'regular'
,,,
42424258,b'ref',b'1',b'regular'
,,,
42424334,b'highway',b'motorway_junction',b'regular'
,,,
42424334,b'ref',b'2',b'regular'
,,,
42424347,b'highway',b'motorway_junction',b'regular'
,,,
42424347,b'ref',b'3',b'regular'
,,,
42424354,b'highway',b'motorway_junction',b'regular'
,,,
42424354,b'ref',b'4',b'regular'
,,,
42424382,b'highway',b'motorway_junction',b'regular'
,,,
42424382,b'ref',b'5',b'regular'
,,,
42424408,b'highway',b'traffic_signals',b'regular'
,,,
42424610,b'highway',b'traffic_signals',b'regular'
,,,
42424619,b'highway',b'traffic_signals',b'regular'
,,,
42426747,b'highway',b'traffic_signals',b'regular'
,,,
42427278,b'highway',b'traffic_signals',b'regular'
,,,
42427305,b'highway',b'traffic_signals',b'regular'
,,,
42427390,b'highway',b'traffic_signals',b'regular'
,,,
42427393,b'highway',b'traffic_signals',b'regular'
,,,
42427411,b'highway',b'stop',b'regular'
,,,
42427494,b'highway',b'traffic_signals',b'regular'
,,,
42427828,b'highway',b'traffic_signals',b'regular'
,,,
42428216,b'highway',b'traffic_signals',b'regular'
,,,
42428345,b'highway',b'traffic_signals',b'regular'
,,,
42428365,b'highway',b'traffic_signals',b'regular'
,,,
42428366,b'highway',b'traffic_signals',b'regular'
,,,
42428368,b'highway',b'traffic_signals',b'regular'
,,,
42428370,b'highway',b'traffic_signals',b'regular'
,,,
42428371,b'highway',b'traffic_signals',b'regular'
,,,
42428374,b'highway',b'traffic_signals',b'regular'
,,,
42428376,b'highway',b'traffic_signals',b'regular'
,,,
42428379,b'highway',b'traffic_signals',b'regular'
,,,
42428385,b'highway',b'traffic_signals',b'regular'
,,,
42428391,b'highway',b'traffic_signals',b'regular'
,,,
42428402,b'crossing',b'traffic_signals',b'regular'
,,,
42428402,b'highway',b'traffic_signals',b'regular'
,,,
42428402,b'sloped_curb',b'yes',b'regular'
,,,
42428405,b'crossing',b'traffic_signals',b'regular'
,,,
42428405,b'highway',b'traffic_signals',b'regular'
,,,
42428405,b'sloped_curb',b'yes',b'regular'
,,,
42428408,b'crossing',b'traffic_signals',b'regular'
,,,
42428408,b'highway',b'traffic_signals',b'regular'
,,,
42428408,b'sloped_curb',b'yes',b'regular'
,,,
42428417,b'crossing',b'traffic_signals',b'regular'
,,,
42428417,b'highway',b'traffic_signals',b'regular'
,,,
42428417,b'sloped_curb',b'yes',b'regular'
,,,
42428527,b'crossing',b'traffic_signals',b'regular'
,,,
42428527,b'highway',b'traffic_signals',b'regular'
,,,
42428527,b'sloped_curb',b'yes',b'regular'
,,,
42428529,b'highway',b'stop',b'regular'
,,,
42429504,b'highway',b'stop',b'regular'
,,,
42429562,b'highway',b'traffic_signals',b'regular'
,,,
42429563,b'highway',b'traffic_signals',b'regular'
,,,
42429565,b'highway',b'traffic_signals',b'regular'
,,,
42429570,b'highway',b'traffic_signals',b'regular'
,,,
42429664,b'highway',b'traffic_signals',b'regular'
,,,
42429666,b'highway',b'traffic_signals',b'regular'
,,,
42429830,b'highway',b'traffic_signals',b'regular'
,,,
42429832,b'highway',b'traffic_signals',b'regular'
,,,
42429844,b'highway',b'traffic_signals',b'regular'
,,,
42430004,b'highway',b'traffic_signals',b'regular'
,,,
42430007,b'highway',b'traffic_signals',b'regular'
,,,
42430160,b'highway',b'traffic_signals',b'regular'
,,,
42430164,b'highway',b'traffic_signals',b'regular'
,,,
42430167,b'highway',b'traffic_signals',b'regular'
,,,
42430253,b'highway',b'traffic_signals',b'regular'
,,,
42430277,b'highway',b'traffic_signals',b'regular'
,,,
42430529,b'highway',b'traffic_signals',b'regular'
,,,
42430550,b'highway',b'traffic_signals',b'regular'
,,,
42430557,b'highway',b'traffic_signals',b'regular'
,,,
42430571,b'highway',b'traffic_signals',b'regular'
,,,
42430589,b'highway',b'traffic_signals',b'regular'
,,,
42430597,b'highway',b'traffic_signals',b'regular'
,,,
42430600,b'highway',b'traffic_signals',b'regular'
,,,
42431503,b'highway',b'traffic_signals',b'regular'
,,,
42431611,b'highway',b'traffic_signals',b'regular'
,,,
42431614,b'highway',b'traffic_signals',b'regular'
,,,
42431617,b'highway',b'traffic_signals',b'regular'
,,,
42431626,b'highway',b'traffic_signals',b'regular'
,,,
42431793,b'highway',b'traffic_signals',b'regular'
,,,
42431868,b'highway',b'traffic_signals',b'regular'
,,,
42431877,b'highway',b'traffic_signals',b'regular'
,,,
42431889,b'highway',b'traffic_signals',b'regular'
,,,
42431898,b'highway',b'traffic_signals',b'regular'
,,,
42434285,b'highway',b'traffic_signals',b'regular'
,,,
42434412,b'crossing',b'traffic_signals',b'regular'
,,,
42434412,b'highway',b'traffic_signals',b'regular'
,,,
42434412,b'sloped_curb',b'yes',b'regular'
,,,
42434821,b'highway',b'traffic_signals',b'regular'
,,,
42434871,b'highway',b'traffic_signals',b'regular'
,,,
42435632,b'highway',b'traffic_signals',b'regular'
,,,
42436024,b'highway',b'traffic_signals',b'regular'
,,,
42436056,b'highway',b'traffic_signals',b'regular'
,,,
42436060,b'highway',b'traffic_signals',b'regular'
,,,
42436064,b'highway',b'traffic_signals',b'regular'
,,,
42436083,b'highway',b'traffic_signals',b'regular'
,,,
42436088,b'highway',b'traffic_signals',b'regular'
,,,
42436097,b'highway',b'traffic_signals',b'regular'
,,,
42436109,b'highway',b'traffic_signals',b'regular'
,,,
42436129,b'highway',b'traffic_signals',b'regular'
,,,
42436134,b'highway',b'traffic_signals',b'regular'
,,,
42436149,b'highway',b'traffic_signals',b'regular'
,,,
42436152,b'highway',b'traffic_signals',b'regular'
,,,
42436181,b'highway',b'traffic_signals',b'regular'
,,,
42436187,b'highway',b'traffic_signals',b'regular'
,,,
42436308,b'highway',b'traffic_signals',b'regular'
,,,
42436316,b'highway',b'traffic_signals',b'regular'
,,,
42436322,b'highway',b'traffic_signals',b'regular'
,,,
42436326,b'highway',b'traffic_signals',b'regular'
,,,
42436335,b'highway',b'traffic_signals',b'regular'
,,,
42436336,b'highway',b'traffic_signals',b'regular'
,,,
42436340,b'highway',b'traffic_signals',b'regular'
,,,
42436353,b'highway',b'traffic_signals',b'regular'
,,,
42436355,b'highway',b'traffic_signals',b'regular'
,,,
42436359,b'highway',b'traffic_signals',b'regular'
,,,
42436364,b'highway',b'traffic_signals',b'regular'
,,,
42436369,b'highway',b'traffic_signals',b'regular'
,,,
42436371,b'highway',b'traffic_signals',b'regular'
,,,
42436374,b'highway',b'traffic_signals',b'regular'
,,,
42436377,b'highway',b'traffic_signals',b'regular'
,,,
42436381,b'highway',b'traffic_signals',b'regular'
,,,
42436384,b'highway',b'traffic_signals',b'regular'
,,,
42436393,b'highway',b'traffic_signals',b'regular'
,,,
42436396,b'highway',b'traffic_signals',b'regular'
,,,
42436400,b'highway',b'traffic_signals',b'regular'
,,,
42436404,b'highway',b'traffic_signals',b'regular'
,,,
42436407,b'highway',b'traffic_signals',b'regular'
,,,
42436411,b'highway',b'traffic_signals',b'regular'
,,,
42436423,b'highway',b'traffic_signals',b'regular'
,,,
42436427,b'highway',b'traffic_signals',b'regular'
,,,
42436431,b'highway',b'traffic_signals',b'regular'
,,,
42436894,b'highway',b'traffic_signals',b'regular'
,,,
42436903,b'highway',b'traffic_signals',b'regular'
,,,
42437396,b'highway',b'traffic_signals',b'regular'
,,,
42437401,b'highway',b'traffic_signals',b'regular'
,,,
42437536,b'highway',b'stop',b'regular'
,,,
42437699,b'highway',b'traffic_signals',b'regular'
,,,
42437699,b'ref',b'5',b'regular'
,,,
42438155,b'crossing',b'traffic_signals',b'regular'
,,,
42438155,b'highway',b'traffic_signals',b'regular'
,,,
42438155,b'sloped_curb',b'yes',b'regular'
,,,
42439096,b'highway',b'traffic_signals',b'regular'
,,,
42439099,b'highway',b'traffic_signals',b'regular'
,,,
42439286,b'highway',b'traffic_signals',b'regular'
,,,
42439295,b'highway',b'traffic_signals',b'regular'
,,,
42439345,b'highway',b'traffic_signals',b'regular'
,,,
42439842,b'highway',b'traffic_signals',b'regular'
,,,
42440280,b'highway',b'traffic_signals',b'regular'
,,,
42440282,b'highway',b'traffic_signals',b'regular'
,,,
42440287,b'highway',b'traffic_signals',b'regular'
,,,
42440290,b'crossing',b'traffic_signals',b'regular'
,,,
42440290,b'highway',b'traffic_signals',b'regular'
,,,
42440290,b'sloped_curb',b'yes',b'regular'
,,,
42440527,b'highway',b'traffic_signals',b'regular'
,,,
42440532,b'highway',b'traffic_signals',b'regular'
,,,
42440829,b'highway',b'traffic_signals',b'regular'
,,,
42440850,b'highway',b'traffic_signals',b'regular'
,,,
42440854,b'highway',b'traffic_signals',b'regular'
,,,
42440873,b'highway',b'traffic_signals',b'regular'
,,,
42440916,b'highway',b'traffic_signals',b'regular'
,,,
42440918,b'highway',b'traffic_signals',b'regular'
,,,
42440918,b'traffic_signals',b'signal',b'regular'
,,,
42443676,b'highway',b'traffic_signals',b'regular'
,,,
42443844,b'highway',b'traffic_signals',b'regular'
,,,
42444200,b'crossing',b'traffic_signals',b'regular'
,,,
42444200,b'highway',b'traffic_signals',b'regular'
,,,
42444200,b'sloped_curb',b'yes',b'regular'
,,,
42444223,b'highway',b'traffic_signals',b'regular'
,,,
42444230,b'highway',b'traffic_signals',b'regular'
,,,
42444353,b'highway',b'traffic_signals',b'regular'
,,,
42444355,b'crossing',b'uncontrolled',b'regular'
,,,
42444355,b'direction',b'forward',b'regular'
,,,
42444355,b'highway',b'crossing',b'regular'
,,,
42444355,b'kerb',b'lowered',b'regular'
,,,
42444355,b'side',b'right',b'regular'
,,,
42444414,b'highway',b'stop',b'regular'
,,,
42444424,b'highway',b'traffic_signals',b'regular'
,,,
42444479,b'highway',b'traffic_signals',b'regular'
,,,
42444480,b'crossing',b'uncontrolled',b'regular'
,,,
42444480,b'direction',b'forward',b'regular'
,,,
42444480,b'highway',b'crossing',b'regular'
,,,
42444480,b'kerb',b'lowered',b'regular'
,,,
42444480,b'side',b'right',b'regular'
,,,
42444897,b'highway',b'traffic_signals',b'regular'
,,,
42444933,b'highway',b'traffic_signals',b'regular'
,,,
42445174,b'highway',b'traffic_signals',b'regular'
,,,
42445310,b'highway',b'traffic_signals',b'regular'
,,,
42445314,b'highway',b'traffic_signals',b'regular'
,,,
42445356,b'highway',b'traffic_signals',b'regular'
,,,
42445357,b'highway',b'traffic_signals',b'regular'
,,,
42445474,b'highway',b'traffic_signals',b'regular'
,,,
42445574,b'highway',b'traffic_signals',b'regular'
,,,
42445702,b'highway',b'traffic_signals',b'regular'
,,,
42445766,b'highway',b'traffic_signals',b'regular'
,,,
42445769,b'highway',b'traffic_signals',b'regular'
,,,
42446622,b'highway',b'traffic_signals',b'regular'
,,,
42448162,b'highway',b'traffic_signals',b'regular'
,,,
42448171,b'highway',b'traffic_signals',b'regular'
,,,
42448568,b'highway',b'traffic_signals',b'regular'
,,,
42448570,b'highway',b'traffic_signals',b'regular'
,,,
42449089,b'highway',b'traffic_signals',b'regular'
,,,
42449098,b'highway',b'traffic_signals',b'regular'
,,,
42449341,b'highway',b'traffic_signals',b'regular'
,,,
42449345,b'highway',b'traffic_signals',b'regular'
,,,
42449597,b'highway',b'traffic_signals',b'regular'
,,,
42449600,b'highway',b'traffic_signals',b'regular'
,,,
42449613,b'highway',b'traffic_signals',b'regular'
,,,
42451370,b'highway',b'traffic_signals',b'regular'
,,,
42452006,b'highway',b'traffic_signals',b'regular'
,,,
42452026,b'highway',b'traffic_signals',b'regular'
,,,
42452610,b'highway',b'traffic_signals',b'regular'
,,,
42452613,b'highway',b'traffic_signals',b'regular'
,,,
42452708,b'highway',b'traffic_signals',b'regular'
,,,
42452816,b'highway',b'traffic_signals',b'regular'
,,,
42452817,b'highway',b'traffic_signals',b'regular'
,,,
42453038,b'highway',b'traffic_signals',b'regular'
,,,
42453059,b'highway',b'traffic_signals',b'regular'
,,,
42453395,b'highway',b'traffic_signals',b'regular'
,,,
42453417,b'highway',b'traffic_signals',b'regular'
,,,
42453902,b'highway',b'traffic_signals',b'regular'
,,,
42453934,b'highway',b'traffic_signals',b'regular'
,,,
42453943,b'highway',b'traffic_signals',b'regular'
,,,
42453952,b'highway',b'traffic_signals',b'regular'
,,,
42454325,b'highway',b'traffic_signals',b'regular'
,,,
42454328,b'highway',b'traffic_signals',b'regular'
,,,
42454381,b'highway',b'traffic_signals',b'regular'
,,,
42454401,b'highway',b'traffic_signals',b'regular'
,,,
42454600,b'highway',b'traffic_signals',b'regular'
,,,
42455200,b'highway',b'traffic_signals',b'regular'
,,,
42456297,b'highway',b'traffic_signals',b'regular'
,,,
42456492,b'highway',b'stop',b'regular'
,,,
42456888,b'crossing',b'traffic_signals',b'regular'
,,,
42456888,b'highway',b'traffic_signals',b'regular'
,,,
42456888,b'sloped_curb',b'yes',b'regular'
,,,
42456986,b'highway',b'traffic_signals',b'regular'
,,,
42457735,b'highway',b'traffic_signals',b'regular'
,,,
42459436,b'highway',b'traffic_signals',b'regular'
,,,
42459493,b'highway',b'stop',b'regular'
,,,
60007350,b'barrier',b'entrance',b'regular'
,,,
60007381,b'highway',b'motorway_junction',b'regular'
,,,
60007414,b'barrier',b'entrance',b'regular'
,,,
60007415,b'barrier',b'entrance',b'regular'
,,,
60007631,b'highway',b'motorway_junction',b'regular'
,,,
60007631,b'noref',b'yes',b'regular'
,,,
60007643,b'highway',b'traffic_signals',b'regular'
,,,
66331467,b'created_by',b'Merkaartor 0.12',b'regular'
,,,
66331468,b'created_by',b'Merkaartor 0.12',b'regular'
,,,
66331480,b'name',b'Hoboken Terminal',b'regular'
,,,
66331480,b'public_transport',b'stop_position',b'regular'
,,,
66331480,b'railway',b'buffer_stop',b'regular'
,,,
103855232,b'railway',b'level_crossing',b'regular'
,,,
103855619,b'highway',b'traffic_signals',b'regular'
,,,
103855623,b'highway',b'traffic_signals',b'regular'
,,,
103855730,b'highway',b'traffic_signals',b'regular'
,,,
103855742,b'highway',b'traffic_signals',b'regular'
,,,
103855742,b'traffic_signals',b'signal',b'regular'
,,,
103855858,b'highway',b'motorway_junction',b'regular'
,,,
103855998,b'barrier',b'toll_booth',b'regular'
,,,
103856234,b'railway',b'switch',b'regular'
,,,
103856238,b'name',b'Hoboken Terminal',b'regular'
,,,
103856238,b'operator',b'NJ Transit',b'regular'
,,,
103856238,b'public_transport',b'stop_position',b'regular'
,,,
103856238,b'railway',b'buffer_stop',b'regular'
,,,
103856455,b'highway',b'traffic_signals',b'regular'
,,,
103856455,b'traffic_signals',b'signal',b'regular'
,,,
103856544,b'barrier',b'toll_booth',b'regular'
,,,
103856684,b'highway',b'traffic_signals',b'regular'
,,,
103856943,b'highway',b'motorway_junction',b'regular'
,,,
103856943,b'ref',b'14B',b'regular'
,,,
103857853,b'railway',b'level_crossing',b'regular'
,,,
103857934,b'railway',b'level_crossing',b'regular'
,,,
103857995,b'name',b'Hoboken Terminal',b'regular'
,,,
103857995,b'public_transport',b'stop_position',b'regular'
,,,
103857995,b'railway',b'buffer_stop',b'regular'
,,,
103857996,b'asset_ref',b'30829',b'regular'
,,,
103857996,b'name',b'Hoboken Terminal',b'regular'
,,,
103857996,b'operator',b'New Jersey Transit',b'regular'
,,,
103857996,b'railway',b'station',b'regular'
,,,
103857996,b'wheelchair',b'yes',b'regular'
,,,
103858028,b'name',b'Hoboken Terminal',b'regular'
,,,
103858028,b'public_transport',b'stop_position',b'regular'
,,,
103858028,b'railway',b'buffer_stop',b'regular'
,,,
103858345,b'highway',b'traffic_signals',b'regular'
,,,
103858433,b'highway',b'traffic_signals',b'regular'
,,,
103858433,b'traffic_signals',b'signal',b'regular'
,,,
103858511,b'highway',b'traffic_signals',b'regular'
,,,
103858511,b'traffic_signals',b'signal',b'regular'
,,,
103858562,b'highway',b'traffic_signals',b'regular'
,,,
103858585,b'highway',b'traffic_signals',b'regular'
,,,
103858587,b'highway',b'traffic_signals',b'regular'
,,,
103858697,b'highway',b'traffic_signals',b'regular'
,,,
103858748,b'highway',b'traffic_signals',b'regular'
,,,
103860010,b'highway',b'traffic_signals',b'regular'
,,,
103860011,b'highway',b'traffic_signals',b'regular'
,,,
103860162,b'highway',b'motorway_junction',b'regular'
,,,
103860162,b'ref',b'14A',b'regular'
,,,
103860171,b'railway',b'level_crossing',b'regular'
,,,
103860550,b'name',b'Hoboken Terminal',b'regular'
,,,
103860550,b'operator',b'NJ Transit',b'regular'
,,,
103860550,b'public_transport',b'stop_position',b'regular'
,,,
103860550,b'railway',b'buffer_stop',b'regular'
,,,
103860897,b'highway',b'traffic_signals',b'regular'
,,,
103860955,b'highway',b'traffic_signals',b'regular'
,,,
103860969,b'highway',b'traffic_signals',b'regular'
,,,
103860969,b'traffic_signals',b'signal',b'regular'
,,,
103861105,b'highway',b'traffic_signals',b'regular'
,,,
103861117,b'highway',b'traffic_signals',b'regular'
,,,
103861405,b'highway',b'traffic_signals',b'regular'
,,,
103861407,b'highway',b'traffic_signals',b'regular'
,,,
103861445,b'highway',b'traffic_signals',b'regular'
,,,
103861445,b'traffic_signals',b'signal',b'regular'
,,,
103861594,b'highway',b'traffic_signals',b'regular'
,,,
103861594,b'traffic_signals',b'signal',b'regular'
,,,
103861622,b'highway',b'traffic_signals',b'regular'
,,,
103861846,b'highway',b'traffic_signals',b'regular'
,,,
103861936,b'highway',b'traffic_signals',b'regular'
,,,
103861936,b'traffic_signals',b'signal',b'regular'
,,,
103862226,b'highway',b'traffic_signals',b'regular'
,,,
103862228,b'highway',b'traffic_signals',b'regular'
,,,
103862243,b'highway',b'crossing',b'regular'
,,,
103862302,b'railway',b'level_crossing',b'regular'
,,,
103862321,b'highway',b'traffic_signals',b'regular'
,,,
103862462,b'highway',b'traffic_signals',b'regular'
,,,
103862462,b'traffic_signals',b'signal',b'regular'
,,,
103862761,b'highway',b'traffic_signals',b'regular'
,,,
103862994,b'highway',b'traffic_signals',b'regular'
,,,
103863007,b'highway',b'traffic_signals',b'regular'
,,,
103863007,b'traffic_signals',b'signal',b'regular'
,,,
103863009,b'highway',b'traffic_signals',b'regular'
,,,
